ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
96,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,12
97,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,4
98,Female,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly,5
99,Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
100,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,4
102,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,2
105,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,12
106,Female,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Going for events on/off-campus,Nope!,Friendly,8
108,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,10
117,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
118,Female,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,8
119,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly,0
120,Female,Class of 2024,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
122,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,12
123,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly,5
124,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,16
125,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
128,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,10
129,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,2
130,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,9
132,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
136,Female,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,1
137,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,10
138,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Fun,2
139,Female,class of 2024,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,8
141,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,10
158,Female,Class of 2027,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,14
159,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Going for events on/off-campus,"Yup, but not always",Fun,7
160,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
161,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun,13
162,Female,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Organized,0
164,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,2
165,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly,5
166,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
167,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,7
168,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,0
170,Female,Class of 2025,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Friendly,5
171,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,3
173,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
174,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
176,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
177,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,12
178,Female,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Chill,12
179,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Fun,7
180,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
181,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Fun,6
182,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,0
183,Female,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Fun,4
184,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,14
188,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,8
189,Female,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,3
193,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
195,Female,Class of 2026,I am extroverted,10PM or earlier,In the room,Hanging out with friends,"Yup, all the time",Friendly,5
198,Female,Class of 2027,I am extroverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Friendly,7
199,Female,Class of 2024,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,0
200,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
202,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,11
203,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,3
205,Female,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Fun,7
206,Female,Class of 2026,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill,5
207,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,2
208,Female,Class of 2027,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,4
213,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,10
214,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,15
215,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
216,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,0
217,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,10
218,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
219,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Friendly,0
220,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Friendly,5
222,Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Responsible,2
224,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
225,Female,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,14
226,Female,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
227,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,12
229,Female,Class of 2026,Somewhere in between,10PM or earlier,Away from the room,Hanging out with friends,"Yup, but not always",Organized,16
230,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,4
231,Female,Class of 2027,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Organized,5
232,Female,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,No idea,15
237,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
