ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
402,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,1
403,Male,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,7
404,Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Responsible,10
425,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill,0
428,Male,Class of 2026,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Responsible,13
435,Male,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,4
436,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, all the time",Friendly,3
437,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,13
438,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Fun,15
439,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
440,Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,14
443,Male,Class of 2027,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,11
446,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,1
447,Male,Class of 2026,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,4
448,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,6
450,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,0
451,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
452,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,5
455,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
456,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,13
457,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Chill,15
459,Male,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Responsible,1
460,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,10
461,Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,13
463,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
464,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
